,tokenized_column
388,"['New', 'Insight', 'On', 'Transmissibility', 'Of', 'Omicron', 'Variant', 'https', ':', '//t.co/wxkNeLOoOs']"
389,"['Y', 'acá', 'muchos', 'lo', 'repiten', 'convencidos', '!', '!', '!', '!', '!', 'LA', 'NACION', '-', 'Los', 'científicos', 'se', 'desvelan', 'por', 'entender', 'la', 'variante', 'ómicron', ',', 'pero', 'las', 'noticias', 'falsas', 'ya', 'tomaron', 'la', 'delantera', '-', 'https', ':', '//t.co/BKzSuJkPTO']"
390,"['An', 'interest', 'rate', 'rise', 'in', 'Omicron', 'times', '?', 'It', 'could', 'just', 'happen', '|', 'Interest', 'rates', 'https', ':', '//t.co/fkKOihBVlM']"
391,"['@', 'sfchronicle', 'Key', 'fact', '?', 'And', 'boosted…', '#', 'Omicron']"
392,"['Omicron', 'Could', 'Be', 'Natural', 'Vaccine', 'for', 'Unvaccinated', '-', 'Prof.', 'Eleanor', 'Riley', '...', 'https', ':', '//t.co/PpnLrRMRgj', 'via', '@', 'YouTube']"
393,"['Omicron', 'to', 'Overtake', 'Delta', ""'Within"", 'Days', ""'"", 'in', 'Europe', 'as', 'Leaders', 'Warn', 'of', 'Infections', ""'Tsunami"", ""'"", 'https', ':', '//t.co/00srLbRM74']"
394,"['@', 'Stephengm99', '@', 'QhaosM', '@', 'grizzlybearx1', '@', '_Summerti_28_', '``', 'The', 'Omicron', 'variant', 'has', 'been', 'detected', 'in', 'at', 'least', '38', 'countries', 'but', 'no', 'deaths', 'have', 'yet', 'been', 'reported', ',', 'the', 'World', 'Health', 'Organization', 'has', 'said', ',', 'amid', 'warnings', 'that', 'it', 'could', 'damage', 'the', 'global', 'economic', 'recovery', '.', ""''"", '~', 'The', 'Guardian', '.', 'Stop', 'fear', 'mongering', '.']"
395,"['@', 'Reliantrobb', '@', 'm4ttmc87', 'Tell', 'Sean', 'I', ""'m"", 'still', 'waiting', 'on', 'the', 'first', 'scariant', 'to', 'get', 'me', 'let', 'alone', 'Omicron']"
396,"['The', 'first', '#', 'Omicron', 'symptom', 'seen', 'in', '90', '%', 'of', 'infected', 'has', 'been', 'identified', 'and', 'named', '#', 'SmartNews', '#', 'COVID19', 'https', ':', '//t.co/yYyFggzuHD']"
397,"['Waspadai', 'Omicron', ',', 'masyarakat', 'tidak', 'boleh', 'lengah', 'Gerakan', 'Disiplin', 'Prokes', 'https', ':', '//t.co/ytjhuS5hDY']"
398,"['@', 'CDCgov', 'How', 'many', 'in', 'the', 'US', 'have', 'died', 'due', 'to', 'omicron', '?', 'Zero', '?', 'Why', 'should', 'we', 'be', 'concerned', 'if', 'that', 'number', 'is', 'zero', '?']"
399,"['@', 'wilkercabral_', 'Vi', 'um', 'TT', 'falando', 'que', 'o', 'pau', 'dele', 'vai', 'lançar', 'uma', 'variante', 'da', 'Ômicron', 'com', 'a', 'gonorreia', 'kkkkkkkkkkkkkkkkkkkkkkkk', 'acho', 'que', 'nem', 'pode', 'rir', 'disso', 'mas', 'véi', 'kkkkkkkkkkkkkkkkkkkkkkkkkkk']"
400,"['El', 'gran', 'riesgo', 'de', 'ómicron', ':', '``', 'Puede', 'extenderse', 'fácilmente', 'entre', 'la', 'población', 'vacunada', ""''"", 'https', ':', '//t.co/VuucMpo3Vo']"
401,"['OMICRON', 'VARYANTI', 'ARTIK', ""TÜRKİYE'DE"", 'DE', 'VAR', ',', 'BAKAN', 'KOCA', 'AÇIKLADI', '!', '#', 'BirBakan40KocaYalan', '#', 'Omicron', 'https', ':', '//t.co/WbRuOP1Yhn']"
402,"['OMICRON', '=', 'MORONIC']"
403,"['We', 'will', 'defeat', 'Covid19', '!', 'To', 'get', 'there', ',', 'we', 'all', 'need', 'to', 'do', 'our', 'part', 'to', 'prevent', 'its', 'spread', 'by', 'following', 'current', 'public', 'health', 'measures', 'and', 'getting', 'vaccinated', '.', '#', 'COVID19', '#', 'Delta', '#', 'Omicron', '#', 'VaccineEquity']"
404,"['@', 'dervishgirl1', 'With', 'Omicron', 'this', 'is', 'going', 'to', 'be', 'so', 'common', 'you', 'wont', 'be', 'able', 'to', 'staff', 'the', 'place', '.', 'Adjustments', 'will', 'have', 'to', 'be', 'made', '.', 'Hope', 'the', 'T', 'cells', 'etc', 'hang', 'in', 'there', 'for', 'everyone', 'concerned', '.', 'Virulence', 'seems', 'low']"
405,"['A', 'Semana', 'em', 'Fakes', '.', 'Variante', 'Ômicron', 'gera', 'onda', 'de', 'desinformação', 'na', 'rede', '.', 'Esta', 'semana', ',', 'Edgard', 'Matsuki', ',', 'editor', 'do', 'https', ':', '//t.co/jBwbR09q32', ',', 'relembra', 'alguns', 'dos', 'boatos', 'sobre', 'a', 'variante', 'Ômicron', 'que', 'viralizaram', '.', '(', 'via', ':', '@', 'Boatosorg', ')', 'Leia', ':', 'https', ':', '//t.co/iToZRaEvuy', 'https', ':', '//t.co/Dv4N5z0xL9']"
406,"['The', 'Ohio', 'Department', 'of', 'Health', 'has', 'confirmed', 'two', 'cases', 'of', 'the', 'Omicron', 'variant', 'of', 'COVID-19', '.', 'Plus', ',', 'a', 'special', 'opportunity', 'for', 'some', 'Cincinnati', 'singers', '.', 'Check', 'out', 'these', 'stories', 'now', 'in', 'your', 'headlines', '!', 'https', ':', '//t.co/DpABeuijPt']"
407,"['@', 'AllisonPearson', 'Since', 'the', 'battle', 'of', 'cocacola', 'vs', 'Pepsi', 'there', 'has', 'never', 'been', 'a', 'commercial', 'battle', 'like', 'this', 'Pfizer', ':', 'is', 'expensive', ',', 'slow', ',', 'not', 'effective', 'and', 'people', 'have', 'died', '.', 'Omicron', ':', 'is', 'free', ',', 'fast', ',', 'gives', 'real', 'inmunity', 'and', 'there', 'are', 'no', 'reported', 'deaths']"
408,"['@', 'bernardpstewart', '@', 'essigna', '@', 'PowderPuffPlay', '@', 'NZStuff', 'No', 'the', 'guinea', 'pigs', 'aren', '’', 't', 'waking', 'up', 'yet', '.', 'Still', 'as', 'stupid', 'as', 'they', 'ever', 'were', '.', 'They', '’', 're', 'waiting', 'for', 'the', 'government', 'to', 'terrify', 'them', 'about', 'omicron', '.', 'https', ':', '//t.co/duEW2EsxQz']"
409,"['If', 'all', 'the', 'good', 'anecdotes', 'about', 'omicron', 'turn', 'out', 'to', 'be', 'true', 'and', 'there', 'aren', '’', 't', 'any', 'major', 'downsides', 'we', 'haven', '’', 't', 'noticed', 'yet…', '.', 'Should', 'we', 'stop', 'trying', 'to', 'contain', 'it', 'and', 'let', 'it', 'outcompete', 'delta', '?', 'Should', 'we', 'have', 'those', 'covid', 'coughing', 'parties', 'for', 'real', '?']"
410,"['@', 'MonicaGandhi9', '@', 'YouTube', 'Is', 'it', 'different', 'enough', 'to', 'say', 'omicron', 'causes', 'COVID-21', ',', 'a', 'different', 'disease', 'condition', '?']"
411,"['Científicos', 'piden', 'más', 'restricciones', 'contra', 'ómicron', 'https', ':', '//t.co/sbRYTCBZSw']"
412,"['CDC', 'announces', '79', '%', 'of', 'all', 'U.S.', 'omicron', 'cases', 'have', 'occurred', 'in', 'vaccinated', 'individuals', 'https', ':', '//t.co/DiibINrNJy']"
413,"['@', 'yellowmazzymoo', '@', 'DailyMailUK', 'EDIT', ':', 'To', 'indirectly', 'answer', 'your', 'question', ',', 'I', 'should', 'have', 'said', 'NEW', 'Omicron', 'varient']"
414,"['#', 'Omicron', 'विषयी', 'अतिशय', 'सोप्या', 'भाषेत', 'माहिती', 'देणारा', 'हा', '#', 'Thread', 'नक्की', 'वाचा', 'गैरसमज', 'दूर', 'होतील', '...']"
415,"['@', 'florian_krammer', 'Omicron', 'effects', 'are', 'mild', 'thus', 'far', ',', 'how', 'can', 'you', 'say', 'it', '’', 's', 'effective', 'against', 'severe', 'disease', 'when', 'no', 'cases', 'of', 'severe', 'disease', 'were', 'reported', 'with', 'Omicron', '?', '#', 'COVID19']"
416,"['@', 'CanaansDad1969', 'Not', 'with', 'Omicron', 'and', 'Delta', 'running', 'rampant', '.', 'Ca', ""n't"", 'do', 'a', 'movie', 'without', 'popcorn', '.']"
417,"['@', 'reallorraine', '#', 'Lorraine', 'I', 'noticed', 'on', 'Friday', 'morning', 'when', 'watching', 'your', 'show', 'that', 'you', 'were', 'exhausted', 'and', 'in', 'fact', 'everything', 'you', 'say', 'in', 'your', 'tweet', 'was', 'registered', 'in', 'your', 'facial', 'expressions', '.', 'I', 'thought', 'you', ""'d"", 'contracted', 'Omicron', '.', 'Just', 'eat', 'sensibly', 'and', 'take', 'plenty', 'of', 'bed', 'rest', '.']"
418,"['@', 'mat_girl', 'E', 'é', 'o', 'correto', '!', 'Mas', 'aqui', 'altas', 'festas', 'e', 'povo', 'todo', 'sem', 'máscara', '.', 'Tivemos', 'o', 'primeiro', 'caso', 'de', 'omicron', 'em', 'POA', '.', '😥']"
419,"['@', 'PrisonPlanet', 'Since', 'the', 'battle', 'of', 'cocacola', 'vs', 'Pepsi', 'there', 'has', 'never', 'been', 'a', 'commercial', 'battle', 'like', 'this', 'Pfizer', ':', 'is', 'expensive', ',', 'slow', ',', 'not', 'effective', 'and', 'people', 'have', 'died', '.', 'Omicron', ':', 'is', 'free', ',', 'fast', ',', 'gives', 'real', 'inmunity', 'and', 'there', 'are', 'no', 'reported', 'deaths']"
420,"['@', 'Kukicat7', 'We', 'do', 'not', 'let', 'unvaccinated', 'people', 'into', 'Australia', '.', 'Yet', 'Omicron', 'has', 'arrived', '.', 'Join', 'the', 'dots', 'on', 'that', 'one', '.', 'Oh', 'and', 'I', 'am', 'fully', 'vaccinated', 'in', 'case', 'you', 'want', 'to', 'label', 'me', 'otherwise', '.']"
421,"['@', 'AquarianSnake', '@', 'smh', '@', 'Peter_Fitz', '@', 'bobjcarr', 'It', ""'s"", 'a', 'hard', 'sell', 'now', '.', 'Omicron', 'is', 'unimpeded', 'by', 'vaccines', '.', 'If', 'there', 'is', 'no', 'longer', 'any', 'meaningful', 'and', 'practical', 'benefit', 'to', 'being', 'vaccinated', ',', 'should', 'healthcare', 'remain', 'intact', 'only', 'for', 'the', 'vaccinated', 'as', 'some', 'token', 'privilege', 'for', 'taking', 'part', 'in', 'the', 'experiment', '?']"
422,"['Hay', 'o', 'NO', 'hay', '“', 'pandemia', '”', '?', '!', 'El', 'mismo', 'Gob', 'que', 'la', 'promueve', ',', 'que', 'te', 'exige', '“', 'pasaporte', 'sanitario', '”', ',', 'hace', 'estos', 'actos', 'masivos', '!', 'Y', 'la', 'Ómicron', '?', '!', 'Enserio', 'NO', 'te', 'cansas', 'de', 'que', 'te', 'tomen', 'por', 'bol', '...', '?', 'BASTA', 'DE', 'PLAN-DEMIA', 'CIRCUS', '!', 'https', ':', '//t.co/ihzQgJ9wE0']"
423,"['@', 'JaeaGeep', '@', 'QhaosM', '@', 'grizzlybearx1', '@', '_Summerti_28_', 'And', 'I', 'quote', '.', '“', 'Omicron', 'has', 'caused', 'zero', 'deaths', 'and', 'no', 'hospitalizations', '.', '”']"
424,"['@', 'vicderbyshire', '@', 'InThePoconos', 'Now', '#', 'Covid19', '#', 'Omicron', '#', 'OmicronVirus', 'is', 'now', 'the', 'virus', 'of', 'the', 'vaccinated', '.', 'The', 'only', 'ones', 'to', 'get', 'the', 'latest', 'version', 'in', 'the', 'very', 'beginning', 'were', 'the', 'vaccinated', '.', 'https', ':', '//t.co/hGwFMP7KFe']"
425,"['@', 'kymtje', 'I', 'want', 'my', 'booster', 'now', ',', 'but', 'am', 'thinking', 'I', 'may', 'wait', 'for', 'the', 'new', 'booster', 'that', 'covers', 'omicron', ',', 'before', 'I', 'go', 'overseas', '.']"
426,"['@', 'BogochIsaac', '@', 'adamsmiller', 'what', 'does', 'this', 'mean', 'for', 'the', '5', 'to', '11', 'year', 'old', 'are', 'they', 'not', 'well', 'protected', 'against', 'omicron', 'with', 'just', 'the', 'two', 'shots', '?']"
427,"['@', 'JustinTrudeau', 'Truth', 'is', 'you', 'do', ""n't"", 'have', 'the', 'second', 'shots', 'ready', ',', 'so', 'no', 'real', 'protection', 'for', 'children/schools/families', 'for', '8', 'to', '12', 'weeks', '!', '!', '!', 'plus', 'a', 'couple', 'weeks', 'for', 'the', 'full', 'immune', 'response', '.', 'Omicron', 'will', 'be', 'dominate', 'by', 'then', '!', 'NACI', 'should', 'be', 'telling', 'us', 'to', 'use', '1/3', 'doses', 'of', 'the', 'abundant', 'adult', 'supply', '.']"
428,"['County', 'reports', 'second', 'omicron', 'case', 'in', 'vaccinated', ',', 'boosted', 'man', '-', 'FOX', '5', 'San', 'Diego', 'https', ':', '//t.co/GMsIyEA4LS', 'SignUp', 'HiPeople', 'https', ':', '//t.co/PwuJEkCY1H']"
429,"['Bukan', 'Main', ',', 'Kasus', 'COVID-19', 'Omicron', 'di', 'Inggris', 'Diprediksi', 'Sampai', '1', 'Juta', 'Lebih', 'Akhir', 'Desember', '#', 'Internasional', 'https', ':', '//t.co/Hnq0D9zZhH', 'https', ':', '//t.co/7ejVMUSzxI']"
430,"['HSBC', 'asks', 'UK', 'employees', 'to', 'return', 'to', 'home', 'working', 'amid', 'Omicron', 'fears', 'https', ':', '//t.co/enMF6JqiNU']"
431,"['The', 'SNP', '’', 's', 'assault', 'on', 'businesses', 'in', 'Scotland', 'knows', 'no', 'bounds', '.', 'Forbes', '’', 'tax', 'and', 'spend', 'budget', ',', 'followed', 'by', 'Sturgeon', '’', 's', '15', 'minute', 'excocet', 'of', 'a', 'speech', 'on', 'Omicron', ',', 'effectively', 'blew', 'Scottish', 'businesses', 'out', 'of', 'the', 'water', '.', 'She', 'then', 'girns', 'at', 'Westminster', 'for', 'more', 'cash', '.', 'https', ':', '//t.co/qRfXiCeHOh']"
432,"['Prof', 'Eleanor', 'Riley', 'on', 'Omicron', ':', '``', 'If', 'it', 'is', 'milder', ',', 'and', 'we', 'know', 'infection', 'induces', 'an', 'immune', 'response', ',', '[', 'so', ']', 'it', 'is', 'possible', 'that', 'this', 'could', 'act', 'as', 'a', 'natural', 'vaccine', ',', 'getting', 'to', 'those', 'people', 'who', 'have', 'so', 'far', 'been', 'unwilling', 'to', 'be', 'vaccinated', '.', ""''""]"
433,"['@', 'AlixG_2', 'Not', 'only', 'that', 'but', 'Omicron', 'seems', 'to', 'be', 'infecting', 'mostly', 'fully-vaccinated', 'people', '!']"
434,"['Omicron', '.', 'Hidden', 'messages', 'https', ':', '//t.co/tFJaQT1HiO']"
435,"['our', 'friend', 'yuan', ':', 'only', 'something', 'like', '10', '%', 'of', 'tests', 'are', 'sequenced', 'to', 'determine', 'variant', 'i', 'need', 'to', 'look', 'at', 'how', 'the', 'cdc', 'determines', 'the', 'count', 'of', 'omicron', 'cases', '-', 'is', 'it', 'total', 'verified', 'cases', ',', 'or', 'is', 'it', 'total', 'estimated', 'cases', '?']"
436,"['Why', 'would', ""n't"", '#', 'Omicron', 'already', 'be', 'in', '#', 'Arkansas', '?', 'There', ""'s"", 'nothing', 'to', 'slow', '#', 'COVID19', 'spread', 'here', '..', '1', 'in', '20', 'wear', 'a', '#', 'MaskUp', ',', 'the', 'docs/nurses', 'that', 'deliver', '#', 'vaccinations', 'do', ""n't"", 'mask', ',', 'no', '#', 'school', 'masks', 'or', 'ventilation', ',', 'no', '#', 'UBI', ',', 'no', '#', 'StayHome', ',', 'no', '#', 'remotelearning', '..', 'https', ':', '//t.co/rwOdtYKiQP']"
437,"['Europa', 'suma', 'más', 'restricciones', 'antes', 'de', 'las', 'fiestas', 'por', 'el', 'avance', 'de', 'la', 'variante', 'Ómicron', 'https', ':', '//t.co/TqF055TfiQ']"
438,"['Canada', 'temporarily', 'dropping', '3rd-country', 'COVID-19', 'testing', 'for', 'South', 'Africa', 'travellers', '-', 'National', '|', 'https', ':', '//t.co/0ngzMYIut7', 'https', ':', '//t.co/R85O1GFFaO', 'Who', 'was', 'bought', 'off', 'to', 'allow', 'this', 'folks', '?', '?', 'they', 'said', 'africa', 'is', 'where', 'the', 'new', 'variant', 'omicron', 'came', 'from', 'wow', 'wake', 'up', 'this', 'is', 'bs']"
439,"['Obviously', ',', 'Omicron', 'is', 'super', 'intelligent', '.', 'It', 'clearly', 'knows', 'the', 'difference', 'between', 'a', 'Child', ',', 'Teacher', 'and', 'Ofsted', 'inspector', ',', 'and', 'will', 'obviously', 'only', 'Infects', 'the', 'latter', '.', '🙄']"
440,"['@', 'southlot', '@', 'CDCgov', 'Actually', 'the', 'vast', 'majority', 'with', 'omicron', 'are', 'vaccinated', '.', 'So', 'what', 'is', 'that', 'science', '?', '?', 'Good', 'news', 'is', 'it', '’', 's', 'showing', 'that', 'it', '’', 's', 'less', 'severe', '.']"
441,"['Preparing', 'for', '2022', ':', 'Omicron', ',', 'Financial', 'Crisis', ',', 'Civil', 'Unrest', 'https', ':', '//t.co/eSAsZ7s4Kh', 'via', '@', 'YouTube']"
442,"['Preliminary', 'data', 'and', 'anecdotes', 'are', 'suggesting', 'that', 'the', 'booster', 'takes', 'death', 'of', 'the', 'table', 'for', 'Omicron', '.', 'Please', ',', 'get', 'boosted', 'you', 'guys', '.']"
443,"['#', 'Omicron', 'has', 'arrived', 'in', 'my', 'state', '(', 'officially', ')', '.', '#', 'Delta', 'is', 'already', 'decimating', 'the', 'healthcare', 'system', 'to', 'the', 'point', 'National', 'Guard', 'has', 'been', 'deployed', 'to', 'multiple', 'states', 'to', 'help', 'handle', 'it', '.', 'WHEN', 'DO', 'WE', 'START', 'MASKING', '?', '!', '?', '#', 'COVID19', '#', 'COVID', 'https', ':', '//t.co/jJ4sohGP0q']"
444,"['@', 'TheSurlyShirley', '@', 'sfchronicle', 'It', 'will', 'continue', 'until', 'there', 'is', 'no', 'living', 'creature', 'on', 'the', 'planet', '.', 'It', 'lives', 'in', 'animals', 'too', '.', 'Vax', 'them', 'too', '?', 'It', '’', 's', 'never', 'going', 'away', '.', 'But', 'while', 'you', 'freak', 'out', 'about', 'Omicron', ',', 'it', '’', 's', 'worth', 'noting', 'there', 'are', 'ZERO', 'deaths', 'from', 'Omicron', '.', 'Count', 'cases', 'until', 'your', 'eyes', 'pop', 'out', 'though', '.']"
445,"['WHO', 'warns', 'fears', 'of', 'omicron', 'could', 'spark', 'new', 'vaccine', 'hoarding', 'https', ':', '//t.co/IQ9PVofNzJ', 'https', ':', '//t.co/wgUeEtlOQ4']"
446,"['Omicron', 'is', 'so', 'mild', 'and', 'so', 'contagious', 'that', 'it', 'may', 'spell', 'the', 'end', 'of', 'any', 'so-called', 'pandemic', ',', 'by', 'acting', 'as', 'a', 'natural', '(', 'and', 'working', ')', 'vaccine', '.', 'This', 'is', 'why', 'the', 'state', 'is', 'upping', 'the', 'hysteria', 'to', '11', 'and', 'demanding', 'vaccinations', 'more', 'desperately', 'than', 'ever', '.']"
447,"['SP', 'confirma', '4º', 'caso', 'de', 'Ômicron', 'em', 'idoso', 'sem', 'histórico', 'de', 'viagem', 'internacional', 'https', ':', '//t.co/1Ry6NQT7Np']"
448,"['4', 'out', 'of', '5', 'Omicron', 'cases', 'are', 'in', 'fully', 'vaxxed', '...', 'Something', 'is', ""n't"", 'adding', 'up', 'in', 'CDC', '#', 's', '🤷\u200d♂️']"
449,"['Als', 'ob', 'sich', '#', 'Omicron', 'daran', 'halten', 'würde', '.', 'Geht', 'ja', 'gut', 'los', 'mit', 'dem', 'neuen', 'Gesundheitsminister', '.', 'Wir', 'machen', 'keine', 'echte', 'Nachverfolgung', 'und', 'Omicron', 'ist', 'schon', 'längst', 'im', 'Hiddenpool', 'fröhlich', 'in', 'der', 'Verbreitung.Das', 'interessiert', 'sich', 'nicht', 'dafür', 'wie', 'langsam', 'wir', 'sind', '.', 'Wieder', 'hinter', 'der', 'Welle']"
450,"['India', 'to', 'be', 'among', 'a', 'few', 'economies', 'to', 'rebound', 'strongly', ';', 'impact', 'of', 'Omicron', 'to', 'be', 'less', 'severe', ':', 'Finance', 'ministr', '...', 'https', ':', '//t.co/msTyHe5vKT', 'via', '@', 'economictimes']"
451,"['Dear', 'omicron', 'just', 'a', 'reminder', 'that', 'the', 'God', 'I', 'serve', 'is', 'omnipotent']"
452,"['Covid', ':', 'Omicron', 'study', 'suggests', 'major', 'wave', 'in', 'January', 'https', ':', '//t.co/9R1kwmW5xu']"
453,"['@', 'Lukewearechange', 'Since', 'the', 'battle', 'of', 'cocacola', 'vs', 'Pepsi', 'there', 'has', 'never', 'been', 'a', 'commercial', 'battle', 'like', 'this', 'Pfizer', ':', 'is', 'expensive', ',', 'slow', ',', 'not', 'effective', 'and', 'people', 'have', 'died', '.', 'Omicron', ':', 'is', 'free', ',', 'fast', ',', 'gives', 'real', 'inmunity', 'and', 'there', 'are', 'no', 'reported', 'deaths']"
454,"['“', 'An', 'Israeli', 'study', 'appears', 'to', 'support', 'findings', 'from', 'Pfizer', 'and', 'BioNTech', 'that', 'three', 'doses', 'of', 'their', 'vaccine', ',', 'including', 'a', 'booster', 'as', 'well', 'as', 'an', 'initial', 'two-shot', 'regimen', ',', 'provide', 'strong', 'protection', 'against', 'the', 'omicron', 'variant…', '”', 'https', ':', '//t.co/T6m54Sc4Mc']"
455,"['Border', 'loosening', 'should', 'be', 'postponed', 'amid', 'rise', 'of', 'Omicron', '-', 'Baker', 'https', ':', '//t.co/3StQWVPIHC']"
456,"['@', 'chicagosmayor', 'Omicron', 'is', 'a', 'sham', 'and', 'the', 'vaccine', 'does', 'not', 'work', '.', 'https', ':', '//t.co/lOcurA2Inm']"
457,"['Coronavirus', ',', 'Toti', ':', '``', 'Isolata', 'variante', 'Omicron', 'al', 'San', 'Martino', ':', 'fortunatamente', 'una', 'persona', 'vaccinata', ',', 'sintomi', 'lievi', ""''"", 'https', ':', '//t.co/Ejfrroq78Z']"
458,"['President', 'Biden', 'should', 'invoke', 'the', 'Defense', 'Authorization', 'Act', 'so', 'the', 'maximum', 'amount', 'of', 'N95s', 'are', 'manufactured', 'allowing', 'every', 'American', 'to', 'wear', 'them', 'at', 'work', '&', 'amp', ';', 'in', 'public', 'to', 'best', 'protect', 'themselves', 'and', 'all', 'of', 'us', 'from', 'the', 'ongoing', '#', 'Delta', 'wave', 'and', 'incoming', 'exponential', 'growth', 'of', '#', 'Omicron']"
459,"['@', 'denisrancourt', 'Since', 'the', 'battle', 'of', 'cocacola', 'vs', 'Pepsi', 'there', 'has', 'never', 'been', 'a', 'commercial', 'battle', 'like', 'this', 'Pfizer', ':', 'is', 'expensive', ',', 'slow', ',', 'not', 'effective', 'and', 'people', 'have', 'died', '.', 'Omicron', ':', 'is', 'free', ',', 'fast', ',', 'gives', 'real', 'inmunity', 'and', 'there', 'are', 'no', 'reported', 'deaths']"
460,"['Omicron', ':', 'UK', 'Birthday', 'Party', 'Became', 'Superspreader', 'Event', 'Among', 'Vaccinated', 'https', ':', '//t.co/2KMWtNiVMk']"
461,"['@', 'JaeaGeep', '@', 'QhaosM', '@', 'grizzlybearx1', '@', '_Summerti_28_', 'And', 'I', 'suppose', 'that', 'the', 'hospital', 'in', 'SA', 'that', 'needs', 'tents', 'and', 'oxygen', 'tanks', 'is', 'for', 'the', 'people', 'who', 'had', 'motorcycle', 'accidents', 'and', 'just', '“', 'incidentally', '”', 'tested', 'positive', '.', 'If', 'you', 'want', 'to', 'say', 'omicron', 'I', '’', 'll', 'milder', 'go', 'ahead', '.', 'But', 'you', 'are', 'lying', 'about', 'SA', '.']"
462,"['@', 'JeffreyM_PhD', '@', 'bachyns', 'Yeah', 'totally', ',', 'I', 'feel', 'that', 'way', 'for', 'sure', ',', 'I', 'just', 'mean', 'on', 'the', 'omicron', 'stuff', 'in', 'particular', ',', 'there', 'seems', 'to', 'be', 'no', 'meaningful', 'official', 'response', '(', 'I', 'keep', 'hoping', 'there', 'is', 'and', 'I', ""'m"", 'missing', 'it', 'because', 'it', ""'s"", 'a', 'busy', 'time', 'in', 'my', 'semester', ')']"
463,"['@', 'spencekimball', 'I', '’', 'm', 'composing', 'my', 'last', 'will', 'and', 'testament', 'right', 'fucking', 'now', '!', 'Cough', ',', 'congestion', ',', 'runny', 'nose', ',', 'oh', 'my', '!', 'This', 'Omicron', 'sure', 'is', 'news-worthy', 'with', 'the', 'havoc', 'that', 'one', 'hospitalization', 'is', 'wreaking', 'upon', 'American', 'society', '!']"
464,"['Científicos', 'piden', 'más', 'restricciones', 'contra', 'ómicron', 'https', ':', '//t.co/mG72ojkYWE']"
465,"['Well', '...', 'this', 'is', 'NOT', 'good', 'news', '#', 'Omicron', '#', 'Vaccines']"
466,"['@', 'SBSNews', 'Hopefully', 'Omicron', 'will', 'take', 'a', '5', 'month', 'break', 'from', 'its', 'exponential', 'spread', '.', 'Something', 'for', 'us', 'all', 'to', 'pray', 'for', '.', 'God', 'Bless', '.']"
467,"['@', 'econstatsnerd', '@', 'NateSilver538', 'And', 'yet', ',', 'there', 'is', 'a', 'lot', 'of', 'FUD', 'around', 'vaccines', 'being', 'ineffective', 'for', 'Omicron', '.']"
468,"['@', 'c13_jane', '@', 'Alan__020', 'No', 'they', ""'re"", 'actually', 'people', 'who', 'read', 'a', 'lot', '.', 'Eat', 'your', 'words', 'and', 'have', 'a', 'read', 'Jane', '.....', 'you', 'too', 'can', 'find', 'out', 'about', 'Omicron', '.', 'In', 'Sth', 'Africa', ',', 'Botswana', 'and', 'the', 'EU', 'it', ""'s"", 'a', 'mild', 'variant', '.', 'Nothing', 'to', 'suggest', 'it', ""'ll"", 'behave', 'any', 'differently', 'in', 'the', 'UK', '.', 'https', ':', '//t.co/W0HyEn6SPC']"
469,"['Good', 'thread', 'for', 'perspective', 'on', '#', 'Omicron', '(', 'w/', 'caveat', 'that', 'data', 'lags', ')', '.', 'Reporting', 'around', '#', 'Covid', 'needs', 'to', 'become', 'more', 'intentional', ',', 'helping', 'the', 'audience', 'find', 'their', 'middle', 'ground', 'between', 'apathy', 'and', 'alarm', '.']"
470,"['@', 'TallyHoToff', '@', 'DrEricDing', 'As', 'I', 'understand', 'it', ',', 'more', 'labs', 'in', 'Scotland', 'are', 'able', 'to', 'test', 'for', 'the', 'omicron', 'variant', 'than', 'in', 'England', ',', 'thus', 'Scottish', 'figures', 'may', 'just', 'be', 'giving', 'an', 'more', 'accurate', 'picture', 'than', 'in', 'England/Wales', '.']"
471,"['Alarma', 'por', 'ómicron', '.', 'Y', 'nos', 'ataques', 'el', 'covid', 'original', '.', 'Re', 'infectados', '.', 'Vacunados', 'infectados', '.', 'Vacunados', 'muertos', '.', 'Las', 'medidas', 'de', 'protección', 'las', 'mismas', 'o', 'no', '?', '?', '?']"
472,"['@', 'NightShiftMD', 'It', '’', 's', 'Delta', 'Omicron', '.', 'Anagram', 'is', 'Media', 'Control', '!', 'They', 'skipped', 'Nu', 'and', 'Xi', 'purposely', '.']"
473,"['@', 'NewshubNZ', 'You', 'want', 'omicron', 'there', '.', 'Less', 'serious', 'symptoms', '(', 'not', 'even', 'a', 'bad', 'cold…esp', '.', 'if', 'vaxed', ')', 'more', 'contagious', ',', 'displaces', 'delta', 'and', 'builds', 'better', 'antibodies', '.', 'The', 'faster', 'you', 'open', 'your', 'borders', 'the', 'better…you', 'can', '’', 't', 'hide', 'from', 'this', 'virus', '.', 'Rule', 'with', 'science', 'not', 'fear', '.']"
474,"['Omicron', '’', 's', 'angry', 'sister…', 'is', 'this', 'a', 'sexist', 'phrase', 'or', 'female', 'empowerment', '.', 'She', 'sounds', 'stronger', 'than', 'her', 'brother', '-', 'shouldn', '’', 't', 'we', 'welcome', 'her', 'to', 'show', 'who', '’', 's', 'the', 'boss', '?', '🙋🏿\u200d♀️', 'https', ':', '//t.co/vtYsaPzqVm']"
475,"['Omicron', 'being', 'a', 'anagram', 'of', 'moronic', 'is', 'just', 'too', 'coincidental', 'isn', '’', 't', 'it', '😂']"
