,tokenized_column
23,"['omicron', ':', 'UK', 'could', 'face', 'major', 'Omicron', 'wave', 'from', 'January', 'next', 'year', ',', 'new', 'analysis', 'warns', '-', 'Times', 'of', 'India', 'https', ':', '//t.co/xrnc5eWiiK']"
24,"['@', 'pastajoe5', '@', 'EricMMatheny', 'And', 'I', '’', 'm', 'sure', 'it', 'will', 'lead', 'the', 'nation', 'in', 'death', 'rate', 'when', 'Omicron', 'hits', 'as', 'well', '.']"
25,"['Omicron', 'seems', 'milder', 'hey']"
26,"['🥃🥃🥃🥃', 'four-whiskeys-in', 'tweet', '.', 'Fuck', 'NL', '.', 'Fuck', 'politics', '.', 'Fuck', 'economics', '.', 'Fuck', 'this', 'stupidity', '.', 'Fuck', 'this', 'pandemic', '.', 'And', 'a', 'special', 'fuck', 'you', 'goes', 'out', 'to', '#', 'Omicron', '.', 'I', 'want', 'my', 'fucking', 'life', 'back.😪', '#', 'DontDrinkAndTweet']"
27,"['Berjangkit-jangkit', ':', 'dunia', 'takut', 'ombak', 'besar', 'varian', 'Omicron', 'Covid-19', '.', 'Negara-negara', 'mengambil', 'langkah-langkah', 'lebih', 'ketat', 'termasuk', 'suntikan', 'dos', 'penggalak', 'vaksin', 'Covid-19', '.', 'Malaysia', ',', 'Singapura', 'dan', 'Thailand', 'beringat-ingat', '.', 'https', ':', '//t.co/OP2cjzDgJU']"
28,"['@', 'ColinDMello', 'The', 'next', 'covid', 'variant', 'after', 'omicron', 'will', 'be', 'the', 'Mickey', 'Mouse', 'variant', 'followed', 'by', 'the', 'Snoopy', 'variant', '.', 'Pfizer', 'and', 'Moderna', 'CEOs', 'seeing', 'the', '$', '$', '$', 'from', 'miles', 'away', '.', 'This', 'stopped', 'being', 'about', 'covid', 'a', 'long', 'time', 'ago', '.', 'Prepare', 'for', 'boosters', 'for', 'the', 'rest', 'of', 'your', 'life', '.']"
29,"['(', 'I', ""'m"", 'hoping', 'to', 'rejoin', 'for', 'the', 'next', 'concert', 'but', 'UUUUGH', 'OMICRON', ')']"
30,"['Bangladesh', 'returnee', 'tests', 'positive', 'for', 'COVID', 'in', 'Bengal', ',', 'genome', 'sequencing', 'underway', 'for', 'Omicron', 'variant', 'https', ':', '//t.co/IKGnfezHle']"
31,"['Despite', 'Omicron', ',', 'Socializing', 'With', 'Others', 'in', 'Public', 'Is', 'On', 'The', 'Uptick', 'https', ':', '//t.co/FUBrlihu5C']"
32,"['India', 'to', 'be', 'among', 'a', 'few', 'economies', 'to', 'rebound', 'strongly', ',', 'impact', 'of', 'Omicron', 'to', 'be', 'less', 'severe', ':', 'Report', '–', 'https', ':', '//t.co/WD4zBr5iUg', 'https', ':', '//t.co/ZEUrKUPxCH']"
33,"['Scientists', 'fear', 'falling', 'trust', 'in', 'Boris', 'Johnson', 'could', 'harm', 'bid', 'to', 'curb', 'Omicron', 'surge', 'https', ':', '//t.co/ljxHjCcfe7']"
